longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.26,37.82,40,624,195.0,423,160,9506.0,187500,NEAR BAY
-122.27,37.82,40,946,375.0,700,352,17750.0,112500,NEAR BAY
-122.27,37.82,21,896,453.0,735,438,9218.0,171900,NEAR BAY
-122.27,37.82,43,1868,456.0,1061,407,15045.0,93800,NEAR BAY
-122.27,37.82,41,3221,853.0,1959,720,11108.0,97500,NEAR BAY
-122.27,37.82,52,1630,456.0,1162,400,12475.0,104200,NEAR BAY
-122.28,37.82,52,1170,235.0,701,233,16097.999999999998,87500,NEAR BAY
-122.28,37.82,52,945,243.0,576,220,14113.0,83100,NEAR BAY
-122.28,37.82,52,1238,288.0,622,259,15057.0,87500,NEAR BAY
-122.28,37.82,52,1489,335.0,728,244,8172.0,85300,NEAR BAY
-122.28,37.82,52,1387,341.0,1074,304,12171.0,80300,NEAR BAY
-122.29,37.82,2,158,43.0,94,57,25625.0,60000,NEAR BAY
-122.29,37.83,52,1121,211.0,554,187,33929.0,75700,NEAR BAY
-122.29,37.82,49,135,29.0,86,23,61182.99999999999,75000,NEAR BAY
-122.29,37.81,50,760,190.0,377,122,9011.0,86100,NEAR BAY
-122.3,37.81,52,1224,237.0,521,159,11910.0,76100,NEAR BAY
-122.3,37.81,48,828,182.0,392,133,25938.0,73500,NEAR BAY
-122.3,37.81,52,1010,209.0,604,187,11667.0,78400,NEAR BAY
-122.3,37.81,48,1455,354.0,788,332,8056.0,84400,NEAR BAY
-122.29,37.8,52,1027,244.0,492,147,26094.0,81300,NEAR BAY
-122.3,37.81,52,572,109.0,274,82,18516.0,85000,NEAR BAY
-122.29,37.81,46,2801,644.0,1823,611,9802.0,129200,NEAR BAY
-122.29,37.81,26,768,152.0,392,127,17719.0,82500,NEAR BAY
-122.29,37.81,46,935,297.0,582,277,7286.0,95200,NEAR BAY
-122.29,37.81,49,844,204.0,560,152,17500.0,75000,NEAR BAY
-122.29,37.81,46,12,4.0,18,7,4999.0,67500,NEAR BAY
-122.29,37.81,20,835,161.0,290,133,24830.0,137500,NEAR BAY
-122.28,37.81,17,1237,462.0,762,439,9241.0,177500,NEAR BAY
-122.28,37.81,36,2914,562.0,1236,509,24464.0,102100,NEAR BAY
-122.28,37.81,19,1207,243.0,721,207,11111.0,108300,NEAR BAY
-122.29,37.81,23,1745,374.0,1054,325,8026.0,112500,NEAR BAY
-122.28,37.8,38,684,176.0,344,155,20114.0,131300,NEAR BAY
-122.28,37.81,17,924,289.0,609,289,15000.0,162500,NEAR BAY
-122.27,37.81,52,210,56.0,183,56,11667.0,112500,NEAR BAY
-122.28,37.81,52,340,97.0,200,87,15208.0,112500,NEAR BAY
-122.28,37.81,52,386,164.0,346,155,8075.0,137500,NEAR BAY
-122.28,37.81,35,948,184.0,467,169,18088.0,118800,NEAR BAY
-122.28,37.81,52,773,143.0,377,115,24083.0,98200,NEAR BAY
-122.27,37.81,40,880,451.0,582,380,9770.0,118800,NEAR BAY
-122.27,37.81,10,875,348.0,546,330,7600.0,162500,NEAR BAY
-122.27,37.8,10,105,42.0,125,39,9722.0,137500,NEAR BAY
-122.27,37.8,52,249,78.0,396,85,12434.0,500001,NEAR BAY
-122.27,37.8,16,994,392.0,800,362,20938.0,162500,NEAR BAY
-122.28,37.8,52,215,87.0,904,88,8668.0,137500,NEAR BAY
-122.28,37.8,52,96,31.0,191,34,7500.0,162500,NEAR BAY
-122.27,37.79,27,1055,347.0,718,302,26354.000000000004,187500,NEAR BAY
-122.27,37.8,39,1715,623.0,1327,467,18477.0,179200,NEAR BAY
-122.26,37.8,36,5329,2477.0,3469,2323,20096.0,130000,NEAR BAY
-122.26,37.82,31,4596,1331.0,2048,1180,28344.999999999996,183800,NEAR BAY
-122.26,37.81,29,335,107.0,202,91,20062.000000000004,125000,NEAR BAY
-122.26,37.82,22,3682,1270.0,2024,1250,12185.0,170000,NEAR BAY
-122.26,37.82,37,3633,1085.0,1838,980,26104.0,193100,NEAR BAY
-117.04,32.8,11,1802,440.0,630,428,20337.0,146700,<1H OCEAN
-121.29,38.89,10,653,120.0,407,146,33889.0,110800,INLAND
-118.15,33.77,39,2428,634.0,1312,612,27212.0,266300,NEAR OCEAN
-118.47,33.99,24,1438,454.0,665,416,29750.0,500001,<1H OCEAN
-121.77,37.33,9,3160,468.0,1675,470,75443.0,348400,<1H OCEAN
-118.5,33.97,29,2737,808.0,1157,696,51280.0,500001,<1H OCEAN
-122.96,38.26,20,1982,358.0,308,132,31429.0,240900,NEAR OCEAN
-118.39,34.08,27,6605,1710.0,2665,1520,38088.0,500001,<1H OCEAN
-117.91,34.07,36,1390,270.0,887,266,50897.0,189000,<1H OCEAN
-117.85,33.85,17,4678,1065.0,2427,1020,42276.0,254100,<1H OCEAN
-119.92,38.91,15,3831,625.0,984,328,50718.0,162500,INLAND
-122.49,37.67,29,3795,675.0,2494,696,52848.0,260300,NEAR OCEAN
-117.71,33.65,16,3774,456.0,1587,430,86088.0,307400,<1H OCEAN
-118.36,33.91,36,2064,474.0,1366,421,41000.0,243100,<1H OCEAN
-117.27,33.04,27,1839,392.0,1302,404,35500.0,214600,NEAR OCEAN
-121.96,37.3,23,4040,843.0,2181,843,40403.0,303400,<1H OCEAN
-122.16,37.74,46,1029,181.0,567,211,34844.0,129500,NEAR BAY
-117.47,34.12,6,10565,1767.0,5690,1555,41797.00000000001,141000,INLAND
-117.72,34.0,15,4363,690.0,2410,666,54824.0,179700,INLAND
-118.31,33.75,34,2338,393.0,1031,373,62870.0,396400,NEAR OCEAN
-118.19,33.9,32,2762,652.0,2677,632,25719.0,105600,<1H OCEAN
-117.05,32.57,13,2880,576.0,2450,567,31696.0,138000,NEAR OCEAN
-122.17,37.71,38,890,200.0,481,198,32440.000000000004,179800,NEAR BAY
-122.28,37.49,29,4148,635.0,1638,627,69120.0,457200,NEAR OCEAN
-117.91,33.75,8,2346,679.0,3842,674,30635.0,160000,<1H OCEAN
-119.25,34.26,30,2948,827.0,1635,750,26700.0,214900,NEAR OCEAN
-118.12,33.86,34,2116,427.0,972,396,48516.0,213600,<1H OCEAN
-120.04,36.96,23,2126,506.0,2091,491,13713.0,51800,INLAND
-118.38,33.86,15,1778,311.0,908,330,76740.0,329300,<1H OCEAN
-122.35,37.95,45,2142,431.0,1318,431,30737.0,111600,NEAR BAY
-118.23,33.9,45,1285,238.0,840,211,34107.0,112500,<1H OCEAN
-117.57,33.91,22,2620,396.0,1324,362,53735.0,214600,INLAND
-122.34,37.55,44,2465,328.0,843,324,69533.0,500001,NEAR OCEAN
-118.46,34.05,21,3639,1002.0,1489,983,46197.0,387500,<1H OCEAN
-122.19,37.78,52,2198,397.0,984,369,32200.000000000004,156500,NEAR BAY
-117.99,33.88,15,2298,567.0,1261,527,42422.00000000001,159400,<1H OCEAN
-119.05,36.06,23,2344,407.0,1184,406,31625.0,70600,INLAND
-119.19,34.15,31,4175,1004.0,3310,954,31989.0,185400,NEAR OCEAN
-121.62,36.67,45,1827,408.0,1507,410,28942.0,129000,<1H OCEAN
-116.77,33.92,19,2307,525.0,1266,437,16875.0,63000,INLAND
-119.1,35.79,19,1809,477.0,2051,416,18144.0,49800,INLAND
-119.06,34.37,32,3885,759.0,2504,736,36453.0,201700,<1H OCEAN
-121.86,39.75,18,1651,309.0,856,293,35046.0,118300,INLAND
-118.02,34.13,34,1966,319.0,980,297,77307.0,429000,INLAND
-118.05,34.06,25,1022,291.0,1570,297,30230.0,142000,<1H OCEAN
-118.09,33.98,37,1226,255.0,1068,271,31607.0,172200,<1H OCEAN
-122.51,38.06,24,9493,1935.0,5162,1880,30742.0,118800,NEAR BAY
-117.94,34.06,32,3418,662.0,2003,622,40333.0,210200,<1H OCEAN
-118.37,34.02,44,1944,458.0,981,377,26154.0,193200,<1H OCEAN
-118.26,33.85,24,9071,1335.0,4558,1327,55420.0,197500,<1H OCEAN
-121.28,38.68,16,3467,615.0,1478,601,37500.0,147300,INLAND
-118.11,33.91,29,889,166.0,597,163,49609.0,186700,<1H OCEAN
-117.2,33.38,14,5392,821.0,2350,810,50507.0,291500,<1H OCEAN
-118.2,34.11,52,1901,525.0,1856,480,30000.0,156400,<1H OCEAN
-118.38,34.05,40,2352,598.0,1133,563,32380.0,287500,<1H OCEAN
-117.18,32.84,30,2290,523.0,1272,472,35606.0,165100,NEAR OCEAN
-119.7,34.4,25,1858,493.0,865,460,30938.0,312500,NEAR OCEAN
-118.51,34.3,24,6145,868.0,2710,875,75078.0,344000,<1H OCEAN
-116.39,33.69,10,11659,2007.0,2186,1083,69833.0,238800,INLAND
-117.28,32.83,34,2392,653.0,933,619,37306.0,500000,NEAR OCEAN
-122.45,40.85,20,2701,573.0,892,358,27736.0,107800,INLAND
-117.87,33.72,39,3167,669.0,2789,619,35902.0,165900,<1H OCEAN
-119.32,36.31,21,2309,424.0,1047,453,29886.0,87500,INLAND
-122.27,37.54,15,2126,310.0,905,306,89083.0,500001,NEAR BAY
-122.71,38.5,15,5645,830.0,2324,769,66104.0,330900,<1H OCEAN
-119.77,36.77,29,2554,705.0,2669,655,12176.0,61900,INLAND
-121.44,38.64,18,1756,442.0,837,320,11250.0,70500,INLAND
-117.16,32.8,37,422,79.0,211,80,30625.0,159700,NEAR OCEAN
-119.78,36.65,27,1226,240.0,706,211,27700.0,68400,INLAND
-122.16,39.78,32,1288,221.0,562,203,23250.0,69600,INLAND
-118.19,33.86,38,2009,524.0,1449,451,27045.0,155400,<1H OCEAN
-117.09,32.72,33,1096,240.0,716,224,16944.0,111800,NEAR OCEAN
-118.29,33.92,23,2503,532.0,1735,505,27368.0,162800,<1H OCEAN
-122.29,37.55,27,3789,874.0,2243,866,43900.0,270100,NEAR OCEAN
-120.76,37.61,30,816,159.0,531,147,32604.000000000004,87900,INLAND
-118.58,34.22,35,2560,441.0,1428,468,56345.0,228200,<1H OCEAN
-117.67,33.47,22,2728,616.0,1081,566,16393.0,500001,<1H OCEAN
-119.16,34.2,35,2183,636.0,3504,623,19704.0,160300,NEAR OCEAN
-117.29,33.18,15,3780,792.0,1632,721,27644.000000000004,111400,NEAR OCEAN
-119.57,36.71,10,1657,359.0,958,380,26458.0,84800,INLAND
-118.15,34.19,48,1854,360.0,1126,382,32216.0,161600,<1H OCEAN
-118.1,34.01,29,2077,564.0,2087,543,26600.0,189200,<1H OCEAN
-118.27,34.04,13,1784,,2158,682,17038.0,118100,<1H OCEAN
-117.25,33.08,13,3651,465.0,1311,435,75402.0,340300,NEAR OCEAN
-118.14,34.06,39,2390,444.0,1246,422,37857.0,245700,<1H OCEAN
-118.21,34.04,47,1325,393.0,1557,352,28000.0,148400,<1H OCEAN
-120.66,35.13,41,2666,751.0,940,507,19653.0,236100,<1H OCEAN
-117.92,33.75,8,2325,598.0,1511,565,33629.0,137500,<1H OCEAN
-120.15,39.36,9,2254,400.0,694,243,56856.0,138100,INLAND
-118.08,33.89,28,1035,275.0,1545,269,30357.0,123400,<1H OCEAN
-122.07,37.91,28,1731,295.0,810,295,50391.0,259800,NEAR BAY
-117.18,34.05,29,3436,731.0,1323,676,24943.0,122300,INLAND
-117.93,33.82,28,2444,555.0,1848,567,30179.0,198800,<1H OCEAN
-117.17,32.79,43,1269,297.0,946,285,21447.0,133300,NEAR OCEAN
-119.55,36.69,21,1551,423.0,1519,406,17132.0,55900,INLAND
-122.02,37.94,23,3516,661.0,1465,623,42569.0,213100,NEAR BAY
-122.14,37.44,52,3117,468.0,1114,421,66756.0,500001,NEAR BAY
-121.92,37.24,26,6777,1051.0,3319,1061,63663.0,279400,<1H OCEAN
-121.82,38.01,42,1017,253.0,798,266,21719.0,99100,INLAND
-116.94,32.8,28,3042,729.0,1964,703,24141.0,137500,<1H OCEAN
-118.19,33.86,36,2013,546.0,1659,522,31215.0,153600,<1H OCEAN
-121.31,37.96,52,2654,468.0,1157,494,32260.0,107600,INLAND
-117.98,33.81,28,3528,816.0,2304,764,25820.0,181800,<1H OCEAN
-117.97,34.05,36,931,160.0,746,201,31667.0,158000,<1H OCEAN
-117.56,33.94,6,575,73.0,318,88,70215.0,257100,INLAND
-121.88,37.44,14,2073,343.0,1107,330,67093.0,311200,<1H OCEAN
-122.14,37.41,35,2419,426.0,949,433,64588.0,437100,NEAR BAY
-122.28,37.86,52,1659,367.0,788,346,28214.0,164300,NEAR BAY
-118.0,33.91,19,5166,770.0,2374,753,59790.0,285200,<1H OCEAN
-122.73,38.26,35,3941,645.0,1668,620,43850.0,317700,<1H OCEAN
-118.34,34.02,48,1614,320.0,684,318,42218.0,181000,<1H OCEAN
-121.77,36.92,9,4934,1112.0,3198,977,35000.0,194800,<1H OCEAN
-122.04,37.39,5,8745,2211.0,3959,2019,47685.00000000001,280100,<1H OCEAN
-118.27,34.09,52,2327,555.0,1048,491,37847.0,252300,<1H OCEAN
-118.46,34.26,33,1358,247.0,738,235,50946.99999999999,210300,<1H OCEAN
-122.2,37.75,36,606,132.0,531,133,15809.0,70000,NEAR BAY
-122.54,38.36,40,2725,531.0,1167,458,37969.0,202800,<1H OCEAN
-121.98,38.37,21,3027,675.0,2018,642,28438.0,111500,INLAND
-122.22,37.78,44,2968,710.0,2269,610,23906.0,111700,NEAR BAY
-122.26,37.55,17,4576,814.0,1941,807,59572.0,443800,NEAR BAY
-117.76,34.07,51,1538,394.0,1173,388,23156.0,109800,INLAND
-122.59,38.44,14,1665,390.0,505,348,31830.0,201200,<1H OCEAN
-117.76,34.06,30,1700,504.0,1719,459,22270.0,91900,INLAND
-117.92,33.73,17,1692,293.0,934,280,44728.0,205800,<1H OCEAN
-117.83,33.88,18,2112,340.0,1048,315,69308.0,231700,<1H OCEAN
-121.96,38.33,3,7985,1257.0,3664,1215,49760.0,158300,INLAND
-122.0,38.35,24,745,116.0,300,115,36176.0,158500,INLAND
-121.37,38.58,37,2839,390.0,1006,400,73343.0,280400,INLAND
-118.25,34.01,28,481,136.0,596,128,12396.0,90300,<1H OCEAN
-116.98,32.75,25,4137,662.0,1905,630,43750.0,214000,<1H OCEAN
-122.44,37.78,52,1118,279.0,514,284,24196.0,346200,NEAR BAY
-122.58,38.58,32,2723,637.0,1549,556,23942.0,183100,INLAND
-122.3,38.32,20,2063,486.0,1045,460,25035.0,153200,NEAR BAY
-121.39,38.59,33,2091,468.0,1053,470,22264.0,108100,INLAND
-118.45,34.04,19,3330,1010.0,1837,915,30173.0,393800,<1H OCEAN
-120.24,37.21,31,2447,465.0,1313,352,33929.0,93800,INLAND
-116.91,32.82,14,1978,424.0,1085,387,38073.0,170100,<1H OCEAN
-121.77,37.68,41,1501,299.0,629,288,46806.0,209400,INLAND
-117.87,33.78,30,2022,522.0,1196,463,37454.0,186000,<1H OCEAN
-118.13,33.76,52,2216,526.0,940,530,45469.0,381000,NEAR OCEAN
-118.25,33.93,42,819,233.0,899,228,11346.0,85400,<1H OCEAN
-117.05,32.63,31,4911,861.0,2334,843,41958.0,160100,NEAR OCEAN
-119.29,36.34,28,1440,431.0,2178,440,12634.0,50600,INLAND
-121.88,37.33,45,1192,371.0,1084,345,28594.0,205900,<1H OCEAN
-118.28,34.02,52,281,103.0,470,96,19375.0,38800,<1H OCEAN
-118.36,34.05,48,1835,380.0,956,370,32813.0,243600,<1H OCEAN
-118.31,34.08,49,2549,630.0,1539,594,26218.0,350900,<1H OCEAN
-118.01,34.12,32,1937,332.0,922,340,39400.0,278400,INLAND
-121.3,38.74,41,4374,1039.0,2387,959,23611.0,87900,INLAND
-118.38,34.18,27,4834,1527.0,3847,1432,21448.999999999996,165300,<1H OCEAN
-117.1,32.68,42,2013,568.0,1920,557,20724.0,107600,NEAR OCEAN
-118.37,33.85,29,3662,586.0,1626,611,63974.0,410000,<1H OCEAN
-118.38,34.06,29,3946,1008.0,1676,876,27824.0,450000,<1H OCEAN
-122.01,37.94,26,1619,224.0,706,220,60704.0,268000,NEAR BAY
-121.39,38.55,18,1734,467.0,783,447,19044.0,154300,INLAND
-118.23,34.21,29,2584,608.0,1217,568,33287.0,273400,<1H OCEAN
-117.93,33.85,25,1026,288.0,1646,283,42019.0,163900,<1H OCEAN
-119.85,36.8,14,1876,324.0,1031,311,36563.0,88800,INLAND
-118.21,34.04,36,1825,479.0,2097,480,21862.0,135300,<1H OCEAN
-118.43,34.22,34,1588,360.0,1080,340,36600.0,184600,<1H OCEAN
-117.63,33.47,4,2320,405.0,1408,477,63369.0,256000,NEAR OCEAN
-118.0,33.76,12,1250,331.0,1047,334,30625.0,208800,<1H OCEAN
-119.49,34.39,17,4617,982.0,2303,923,39224.0,230600,NEAR OCEAN
-122.91,39.03,14,2374,557.0,723,427,13532.0,95800,INLAND
-121.98,37.36,34,1735,318.0,1019,301,45625.0,242700,<1H OCEAN
-117.88,33.76,37,2988,677.0,2354,666,34345.0,235500,<1H OCEAN
-116.97,32.8,15,3927,1018.0,2204,977,24367.0,111400,<1H OCEAN
-121.93,36.63,28,3983,852.0,1582,778,35147.0,313900,NEAR OCEAN
-117.99,34.13,37,1568,371.0,1618,350,29605.0,129400,INLAND
-117.06,32.8,17,2247,340.0,973,318,55000.0,222000,<1H OCEAN
-118.16,34.03,41,1377,293.0,1142,272,31724.0,141600,<1H OCEAN
-117.33,34.06,42,530,123.0,390,124,10469.0,67000,INLAND
-121.27,38.11,15,2039,384.0,1178,375,38672.0,120100,INLAND
-118.24,34.2,41,2067,452.0,1282,455,55756.0,309900,<1H OCEAN
-122.15,37.74,52,2898,557.0,1338,550,38510.0,183500,NEAR BAY
-122.07,37.72,26,3204,477.0,1411,484,54833.99999999999,295200,NEAR BAY
-118.19,33.79,43,1823,600.0,2339,560,16792.0,130600,NEAR OCEAN
-120.98,37.65,40,422,63.0,158,63,73841.0,172200,INLAND
-122.26,38.15,26,3699,671.0,2388,699,40515.0,121900,NEAR BAY
-118.39,34.08,28,833,230.0,349,210,30670.0,375000,<1H OCEAN
-121.04,39.08,8,2870,526.0,1307,451,34630.0,201700,INLAND
-117.61,34.34,18,5210,912.0,1301,464,48623.0,176900,INLAND
-120.44,34.94,24,2481,476.0,1101,474,31576.0,147200,<1H OCEAN
-121.91,37.23,22,2614,453.0,1240,462,60712.0,271800,<1H OCEAN
-121.84,37.34,27,2512,526.0,3033,526,42500.0,162900,<1H OCEAN
-118.34,34.06,52,1311,310.0,707,290,34812.0,432800,<1H OCEAN
-120.8,35.33,20,2200,393.0,996,365,35870.0,330000,NEAR OCEAN
-118.13,34.08,40,1931,449.0,1367,446,25750.0,228400,<1H OCEAN
-119.33,36.22,9,3748,644.0,1955,620,42011.0,108100,INLAND
-118.71,34.29,24,2983,406.0,1203,381,63236.0,302000,<1H OCEAN
-117.36,33.99,42,1178,261.0,804,283,29688.0,92900,INLAND
-118.24,33.99,44,448,116.0,504,96,18750.0,98600,<1H OCEAN
-117.9,33.88,28,2696,346.0,947,356,90055.0,375400,<1H OCEAN
-117.76,34.11,22,4935,954.0,2874,938,39825.0,180500,INLAND
-118.17,33.74,36,2006,453.0,807,426,37838.0,500001,NEAR OCEAN
-122.32,37.56,26,2339,704.0,1283,654,31620.0,415000,NEAR OCEAN
-118.47,34.01,44,2175,475.0,1019,448,47930.0,470800,<1H OCEAN
-120.98,37.68,27,4006,762.0,1806,718,31848.0,112800,INLAND
-120.43,34.95,43,2020,344.0,692,310,36815.0,181800,<1H OCEAN
-117.92,33.63,24,1562,441.0,696,347,35161.0,236400,<1H OCEAN
-121.36,38.6,36,1275,227.0,530,245,38750.0,133600,INLAND
-118.06,34.03,36,21,7.0,21,9,23750.0,175000,<1H OCEAN
-119.16,36.31,7,2946,664.0,1608,622,16829.0,80200,INLAND
-121.32,38.03,25,2474,513.0,1947,524,25742.0,98400,INLAND
-116.5,33.81,26,5032,1229.0,3086,1183,25399.0,94800,INLAND
-118.42,34.32,30,3027,604.0,1970,590,43409.00000000001,156000,<1H OCEAN
-118.36,34.1,52,1096,247.0,423,230,30179.0,500001,<1H OCEAN
-122.7,39.0,18,793,148.0,186,59,23125.0,162500,INLAND
-120.04,36.93,11,3606,699.0,2074,644,26941.0,63300,INLAND
-118.31,33.88,21,1490,430.0,686,400,23812.000000000004,237500,<1H OCEAN
-122.32,38.35,20,3494,549.0,1673,541,55718.0,185200,INLAND
-121.52,38.53,31,3089,585.0,1366,561,42885.0,160300,INLAND
-121.2,38.67,26,1546,287.0,773,299,29803.0,115400,INLAND
-122.47,37.78,52,2388,507.0,1078,494,35221.0,443300,NEAR BAY
-121.1,38.33,14,1357,247.0,695,224,41974.0,157800,INLAND
-117.97,34.1,26,1399,277.0,1285,276,40000.0,160100,INLAND
-121.26,38.27,20,1314,229.0,712,219,44125.0,144600,INLAND
-122.3,41.32,13,2300,513.0,1151,488,21570.999999999996,81500,INLAND
-121.95,36.61,31,1736,250.0,497,170,63835.0,407800,NEAR OCEAN
-119.69,36.81,15,2892,496.0,1634,501,44934.0,88000,INLAND
-118.35,33.96,21,2714,881.0,1549,853,12094.0,157500,<1H OCEAN
-121.71,36.78,19,2371,324.0,944,332,59175.00000000001,240200,<1H OCEAN
-117.9,34.13,32,1640,391.0,1312,358,26292.0,136100,<1H OCEAN
-122.45,37.71,52,1658,322.0,1086,326,38583.0,261600,NEAR OCEAN
-118.41,34.19,39,1169,242.0,612,247,41429.0,200000,<1H OCEAN
-122.07,37.66,28,2280,610.0,1255,587,26719.0,161200,NEAR BAY
-121.89,37.31,52,1994,404.0,1014,389,43882.0,223600,<1H OCEAN
-117.65,34.04,15,3393,,2039,611,39336.0,151000,INLAND
-118.41,34.17,35,2027,428.0,879,402,46920.0,330900,<1H OCEAN
-121.24,38.79,15,2615,485.0,1063,428,37904.0,173200,INLAND
-116.99,33.75,18,9601,2401.0,4002,2106,14366.000000000002,77000,INLAND
-119.73,36.62,35,2080,365.0,1026,333,35781.0,92800,INLAND
-122.24,37.76,52,2646,581.0,1128,522,30718.0,266700,NEAR BAY
-117.89,33.62,24,1016,238.0,465,236,30625.0,93800,<1H OCEAN
-122.47,37.76,52,2465,489.0,1170,498,40793.0,306700,NEAR BAY
-117.13,32.74,52,1512,321.0,651,321,36852.0,185300,NEAR OCEAN
-121.91,37.93,13,1610,198.0,703,217,87059.0,329400,INLAND
-117.16,32.91,5,1619,272.0,1063,296,60891.0,214600,<1H OCEAN
-118.38,34.07,21,3653,956.0,1510,890,35573.0,500001,<1H OCEAN
-116.86,33.05,17,9044,1689.0,5030,1596,36348.0,164500,<1H OCEAN
-121.3,38.72,15,2514,482.0,1166,503,22813.0,131900,INLAND
-116.94,33.77,14,7240,1410.0,2708,1240,24145.0,137600,INLAND
-116.58,32.69,19,4085,876.0,2133,718,29190.0,116500,INLAND
-122.01,37.56,6,3028,778.0,1531,736,44259.00000000001,158000,NEAR BAY
-117.1,32.76,31,987,267.0,619,250,29286.0,151800,NEAR OCEAN
-118.01,34.1,35,2120,412.0,1375,405,34609.0,166300,INLAND
-117.69,33.47,23,3499,722.0,1480,634,38600.0,300000,<1H OCEAN
-121.42,38.64,44,1728,367.0,1042,349,16033.0,58500,INLAND
-122.18,37.74,35,504,126.0,323,109,18438.0,90500,NEAR BAY
-116.49,33.8,13,8789,1875.0,1274,688,37396.0,148900,INLAND
-117.9,33.72,36,443,117.0,577,115,36875.0,137500,<1H OCEAN
-118.11,33.98,36,446,108.0,410,117,33942.0,147200,<1H OCEAN
-122.4,37.72,41,1975,440.0,1528,424,38625.0,218300,NEAR BAY
-120.4,34.86,11,1633,348.0,504,327,20508.0,275000,<1H OCEAN
-122.45,37.72,52,982,197.0,653,171,42167.0,231900,NEAR BAY
-115.56,32.79,20,2372,835.0,2283,767,11707.0,62500,INLAND
-118.16,34.11,48,1091,236.0,632,234,37235.0,263600,<1H OCEAN
-116.98,32.73,16,952,143.0,530,143,50864.0,175300,<1H OCEAN
-121.87,37.42,19,12128,2112.0,6810,2040,64419.00000000001,264500,<1H OCEAN
-121.24,37.95,36,361,63.0,169,62,37734.0,63800,INLAND
